"Parameter","Estimate (95%CI)","IIV (%CV)"
"Delta (/d)","0.067 (0.058, 0.077)","59.2"
"A0 (log10 U/mL)","3.762 (3.722, 3.802)","3.71"
"Additive error","0.218","-"
"beta_pax","-0.212 (-0.367, -0.056)","-"
"Beta_1_vac","-0.667 (-1.078, -0.256)","-"
"Beta_2_vac","0.304 (0.129, 0.479)","-"
