"Parameter","Estimate (95%CI)","IIV (%CV)"
"Delta (/d)","0.888 (0.837, 0.943)","7.57"
"V0 (log10 cp/mL)","5.87 (5.749, 5.991)","16.5"
"Additive error","1.416","-"
"Beta_pax_on","1.178 (1.072, 1.295)","-"
"Beta_age","1.09 (0.624, 1.557)","-"
"Beta_ab","-0.318 (-0.42, -0.216)","-"
"Beta_sym","-1.169 (-1.431, -0.908)","-"
